record_type,run_id,absolute_path,sha256,row_count,columns,fold_counts,feature_date_min,feature_date_max,target_date_min,target_date_max,unique_dates,duplicate_dates,missing_dates_vs_canonical_h5,event_count_tau15,event_count_tau16,event_count_tau17,model_names,risk_score_definitions,alarm_budget_calculation,dates_filtered_to_shared_model_intersection,rows_removed_missing_predictions,rows_removed_normalization,rows_removed_purge_or_embargo,run_classification,excluded_date,excluded_fold,excluded_y_true,excluded_missing_models,excluded_reason
file_summary,20260219_195429,/home/alrezshams/acs_tnout_ulsan_revision/results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/hybrid_rank_v2_H5_preds.csv,4f7f69a74d1233060ebadbe13edcaa18d748d504ea1f6c11dbae1a496a4001a8,747,date;fold;y_true;y_pred_hybrid_point;y_pred_enet;y_pred_persist;y_pred_hgbr;p_tau15;s_tau15_hybrid;p_tau16;s_tau16_hybrid;p_tau17;s_tau17_hybrid,1:249|2:249|3:249,2021-10-05,2023-10-21,2021-10-10,2023-10-26,747,0,0,134,71,29,hybrid_rank_v2_H5_preds,p_tau15;s_tau15_hybrid;p_tau16;s_tau16_hybrid;p_tau17;s_tau17_hybrid,NA,YES,0,0,0,guarded-policy;manuscript-final,,,,,
file_summary,20260219_195429,/home/alrezshams/acs_tnout_ulsan_revision/results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/predictions/enet_H5_preds.csv,8bf7fc41afde32f9f739d34e0cea03b4b8d89751e80077d7b2df6c987857946b,747,date;fold;y_true;y_pred,1:249|2:249|3:249,2021-10-05,2023-10-21,2021-10-10,2023-10-26,747,0,0,134,71,29,enet_H5_preds,y_pred,NA,YES,0,0,0,guarded-policy;manuscript-final,,,,,
file_summary,20260219_195429,/home/alrezshams/acs_tnout_ulsan_revision/results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/predictions/hgbr_H5_preds.csv,8c42d1c33c70c095592870c4be282cc29141e0fa56bec6b1b24ffd36bc80459f,747,date;fold;y_true;y_pred,1:249|2:249|3:249,2021-10-05,2023-10-21,2021-10-10,2023-10-26,747,0,0,134,71,29,hgbr_H5_preds,y_pred,NA,YES,0,0,0,guarded-policy;manuscript-final,,,,,
file_summary,20260219_195429,/home/alrezshams/acs_tnout_ulsan_revision/results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/predictions/hybrid_point_H5_preds.csv,2effb0564ca257104a6a0dcb98f00ed9ee1eac3d0701b22a58cdecebc84d6812,747,date;fold;y_true;y_pred,1:249|2:249|3:249,2021-10-05,2023-10-21,2021-10-10,2023-10-26,747,0,0,134,71,29,hybrid_point_H5_preds,y_pred,NA,YES,0,0,0,guarded-policy;manuscript-final,,,,,
file_summary,20260219_195429,/home/alrezshams/acs_tnout_ulsan_revision/results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/predictions/persistence_H5_preds.csv,4f9cb4225034bf80cbb1fa05c43e41be361f68ff3104ab46ba5e7dc7027b9afe,747,date;fold;y_true;y_pred,1:249|2:249|3:249,2021-10-05,2023-10-21,2021-10-10,2023-10-26,747,0,0,134,71,29,persistence_H5_preds,y_pred,NA,YES,0,0,0,guarded-policy;manuscript-final,,,,,
file_summary,20260219_195429,/home/alrezshams/acs_tnout_ulsan_revision/results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/predictions/rank_scores_tauwise_H5.csv,902f34abf5cadc723aa15bf5f4926c3008c89ac13f7770fd1d31f9fe12b2938e,747,date;fold;y_true;p_tau15;p_tau16;p_tau17;s_tau15_hybrid;s_tau16_hybrid;s_tau17_hybrid,1:249|2:249|3:249,2021-10-05,2023-10-21,2021-10-10,2023-10-26,747,0,0,134,71,29,rank_scores_tauwise_H5,p_tau15;p_tau16;p_tau17;s_tau15_hybrid;s_tau16_hybrid;s_tau17_hybrid,NA,YES,0,0,0,guarded-policy;manuscript-final,,,,,
file_summary,20260219_195429,/home/alrezshams/acs_tnout_ulsan_revision/results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/alarm_budget_metrics_H5.csv,3a96e643c005498f174785685bb3e007b05ba3dca26eeef58cc27a22f5289082,144,model;scope;tau;budget_r;n;k;events;TP;precision;recall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,enet;hgbr;hybrid_paper_fixed;hybrid_rank_v2;persistence;tcn,NA,"k=max(1,ceil(r*n))",NA,0,0,0,guarded-policy;manuscript-final,,,,,
file_summary,20260219_195429,/home/alrezshams/acs_tnout_ulsan_revision/results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/budget_recall_curves_long_H5.csv,61684679b357b9b48fe40c7881a209632b67d2de4696bb2db58bb58e417e8120,360,model;tau;budget_r;n;k;events;TP;precision;recall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,enet;hgbr;hybrid_paper_fixed;hybrid_rank_v2;persistence;tcn,NA,"k=max(1,ceil(r*n))",NA,0,0,0,guarded-policy;manuscript-final,,,,,
file_summary,20260219_195429,/home/alrezshams/acs_tnout_ulsan_revision/results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/key_operating_points_compare_H5.csv,9b2ae44f2c74cf37ec168d038def0bf9246feb3a13ae84e52b25e2c7b6e9caf9,24,model;scope;tau;budget_r;n;k;events;TP;precision;recall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,enet;hgbr;hybrid_paper_fixed;hybrid_rank_v2;persistence;tcn,NA,"k=max(1,ceil(r*n))",NA,0,0,0,guarded-policy;manuscript-final,,,,,
file_summary,20260219_195429,/home/alrezshams/acs_tnout_ulsan_revision/results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/tables/learning_curve_point_metrics_H5.csv,c02616fd5d11f9545ace44179f80f8576f24c3d002bc810211765988da285feb,140,n_points;model;MAE;RMSE;MASE1;MASE7;n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,enet;hgbr;hybrid_point;persistence,NA,NA,NA,0,0,0,guarded-policy;manuscript-final,,,,,
